index,x,y,z,length,width,height
1,0,0,0,620,653,754
2,0,653,0,369,330,446
3,369,657,1,367,302,422
4,658,0,1,539,657,796
5,736,657,1,374,257,476
6,736,914,1,117,58,232
7,1110,657,1,53,193,235
8,1110,850,1,73,138,191
9,1110,850,192,69,144,166
10,736,914,233,114,60,131
11,1110,657,236,51,193,196
12,374,653,423,244,320,219
13,0,653,446,374,338,302
14,623,657,477,372,291,295
15,995,657,477,170,193,254
16,995,850,477,197,143,291
17,374,653,642,145,290,98
18,0,0,754,658,547,798
19,0,547,754,623,441,768
20,623,633,797,370,352,455
21,658,0,797,496,633,751
22,993,633,797,205,332,424
23,1023,633,1221,163,266,157
24,1023,899,1221,111,96,273
25,623,633,1252,400,362,246
26,1023,633,1378,172,255,112
27,1091,667,1490,102,57,163
28,856,724,1498,316,251,446
29,0,672,1522,473,241,356
30,0,913,1522,160,50,245
31,160,913,1522,165,57,195
32,325,913,1522,102,78,200
33,473,672,1522,124,51,288
34,473,724,1522,383,265,386
35,1091,0,1548,107,165,263
36,1091,165,1548,97,154,294
37,1091,319,1548,103,189,214
38,1091,508,1548,89,159,293
39,0,0,1552,612,672,439
40,612,0,1552,479,724,435
41,160,913,1717,143,63,155
42,303,913,1722,126,76,137
43,1091,319,1762,92,156,160
44,1091,0,1811,108,143,154
45,1091,475,1841,63,147,157
46,1091,622,1841,76,101,134
47,1091,143,1842,83,135,146
48,0,672,1878,146,284,116
49,146,672,1878,165,194,113
50,146,866,1878,221,114,118
51,311,672,1878,128,176,96
52,367,848,1878,96,111,114
container,,,,1200, 1000, 2000
